Loan Type,Encoded Value
"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",545
Credit-Builder Loan,637
"Auto Loan, Auto Loan, and Not Specified",171
Not Specified,666
No Data,666
"Credit-Builder Loan, and Mortgage Loan",889
"Not Specified, Auto Loan, and Student Loan",935
"Personal Loan, Debt Consolidation Loan, and Auto Loan",749
"Not Specified, and Payday Loan",815
"Credit-Builder Loan, Personal Loan, and Auto Loan",149
"Payday Loan, and Payday Loan",468
"Not Specified, Student Loan, and Personal Loan",580
"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",302
"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",845
"Payday Loan, and Home Equity Loan",222
"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",469
"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",750
"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",335
"Not Specified, Student Loan, and Student Loan",707
"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",297
"Home Equity Loan, Credit-Builder Loan, and Home Equity Loan",486
"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",900
Debt Consolidation Loan,144
"Payday Loan, Not Specified, and Auto Loan",804
"Auto Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",260
"Auto Loan, and Home Equity Loan",117
"Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",355
"Mortgage Loan, and Payday Loan",400
"Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan",995
"Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified",287
"Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan",420
"Home Equity Loan, Credit-Builder Loan, Personal Loan, and Mortgage Loan",628
"Mortgage Loan, and Not Specified",802
"Credit-Builder Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Personal Loan, and Credit-Builder Loan",938
"Credit-Builder Loan, Personal Loan, Credit-Builder Loan, and Home Equity Loan",611
"Personal Loan, Mortgage Loan, and Payday Loan",104
"Student Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, Not Specified, Not Specified, Personal Loan, and Payday Loan",704
"Credit-Builder Loan, Personal Loan, Credit-Builder Loan, Mortgage Loan, Personal Loan, Payday Loan, Payday Loan, Payday Loan, and Student Loan",412
"Auto Loan, and Payday Loan",353
"Student Loan, Auto Loan, Personal Loan, Auto Loan, Credit-Builder Loan, Payday Loan, Home Equity Loan, Auto Loan, and Personal Loan",722
"Personal Loan, and Student Loan",571
"Auto Loan, Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Student Loan",590
"Not Specified, Student Loan, Auto Loan, Home Equity Loan, and Mortgage Loan",616
"Student Loan, Payday Loan, Personal Loan, Not Specified, Mortgage Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",609
